"category";"shop_sku";"name [fr]";"attribut_marque";"description [fr]";"ean";"media";"media1";"media2";"media3";"couleurboutique";"attribut_materiautoilescadresetchassis";"line_number";"errors"
"couverturepiscine";"100373";"Bâche hiver pour piscine Lima - 580 gr/m² - Bleu";"marquehabitatetjardin";"Descriptif :  Bâche hiver pour piscine Lima octogonale allongée - illet tous les mètres - Bleue dessus - Livrée avec crochets plastiques hors sol - Protection de votre bassin contre salissures et feuilles - très résistante - légère et facile à mettre en place.Matière :  Polyéthylène tissé 280 gr/m².Dimensions de la bâche :  10.50 x 3.17 m.Colisage :  1 colis : - 1 x 1 x 1 m, 1 kg.";"3700746471115";"https://i.habitatetjardin.com/files/produits/641/bache_hiver_max.jpg";"";"";"";"couleurrootbleu";"";"65";"MCM-05000|The 'media' attribute is required."
"piscinetubulaire";"101586";"Piscine tubulaire LUDO 3 - 5.49 x 2.74 x 1.32 m - filtration à  sable 4,1m3/H";"marquehabitatetjardin";"La Piscine structure métal rectangulaire Ludo est l'élément indispensable pour créer un espace détente de qualité. Son design allie toute la beauté d'une piscine creusée mais avec l'avantage d'être démontable. Son large espace pour nager et son système de pompe à filtre rendent la piscine accueillante et conviviale ; en somme, le meilleur endroit pour se relaxerDescriptif piscineMatériaux :  - Matériaux PVC composés de 3 couches - Durabilité accrue grâce à deux couches de PVC laminé qui renferment un maillage de polyester garantissant une plus grande résistance aux ultraviolets et au chlore. Cadre en métal résistant à la rouille - Construction tubulaire en acier avec revêtement de protection anti-corrosion - Parois latérales en PVC résistant (extérieur) et laminé de polyester (intérieur) .Dimensions (L x l x H m) :  5.49 x 2.74 x 1.32 mDimensions hors tout: 6,52 x 3,83 x 1,32 cm.Filtration :  Groupe de filtration à sable 4.1 m3/h - Sable non inclus.Jambes de force :  Châssis en métal galvanisé antirouille.Volume (m3) :  18 m3.Nombres de colis :  1.Poids (kg) :  139 kg.EquipementsEchelle :  Oui.Tapis de sol :  Oui.Bâche de protection :  Oui.Bâche été :  Non.Kit matériel d'entretien :  Oui.Kit traitement de l'eau :  Non.Robot nettoyeur de fond :  Non.DVD de montage :  Non.Accessoires divers :  - Valve de vidange raccordable à un tuyau d'arrosage pour une vidange confortable- Raccord pratique et verrouillable sur le côté extérieur de la piscine.Conseils pratiquesTemps de montage :  90 à 120 min.Restriction d'usage :  Ne convient pas aux enfants de moins de 36 mois - A utiliser sous la surveillance d'un adulte - Réservé à un usage domestique.Normes :  EN 16582-1EN 16582-3.Forme :  Rectangulaire.Catégorie Bassin :  Rectangulaire de 5 à 7 m.Profondeur :  de 1.20 m à 1.30 m.Colisage :  1 colis : - 0,648 x 0,553 x 1,549 m, 139,18 kg.Modèle :  Tubulaire.";"3700746437951";"https://i.habitatetjardin.com/files/produits/1313/piscine-tubulaire-80093e_vue0.jpg";"https://i.habitatetjardin.com/files/produits/1313/piscine-tubulaire-80093e_vue1.jpg";"https://i.habitatetjardin.com/files/produits/1313/piscine-tubulaire-80093e_vue2.jpg";"https://i.habitatetjardin.com/files/produits/1313/piscine-tubulaire-80093e_vue3.jpg";"";"";"166";"MCM-04031|The product identifiers match multiple products from the same provider."
"couverturepiscine";"106122";"Bâche à bulles  pour piscine Venecia - 180 µ - bleu";"marquehabitatetjardin";"Descriptif :  Forme octogonale - 180 microns.Dimensions de la bâche :  4.84 x 4.84 m.Colisage :  1 colis : - 11 x 1 x 1 m, 1 kg.";"3700746485969";"https://i.habitatetjardin.com/files/produits/1206/1206_61834_vue0.jpg";"";"";"";"couleurrootbleu";"";"447";"MCM-05000|The 'media' attribute is required."
"accessoiresdejardin";"106697";"Batterie YardForce 40 V 2.5 Ah";"marquehabitatetjardin";"Cette batterie Lithium-ion Samsung 25R est compatible avec la gamme de produit Yardforce  - Tension 40V - Capacité : 2.5 Ah  - Poids: 2 kg - Garantie 2 ans Colisage :  1 colis : - 0,13 x 0,135 x 0,105 m, 2,2 kg.";"6939500728340";"https://i.habitatetjardin.com/files/produits/1447/divers-103994_vue1_Taille_2.jpg";"";"";"";"";"";"489";"MCM-05000|The 'media' attribute is required."
"couverturepiscine";"106732";"Bâche hiver pour piscine Caimans - 280 gr/m² - Bleu";"marquehabitatetjardin";"Descriptif :  Bâche hiver pour piscine Caimans octogonale allongée - illet tous les mètres - Bleue dessus - Livrée avec crochets plastiques hors sol - Protection de votre bassin contre salissures et feuilles - très résistante - légère et facile à mettre en place.Matière :  Polyéthylène tissé 280 gr/m².Dimensions de la bâche :  4.30 X 3.20 m.Dimensions de la piscine :  4.10 X 3.00 m.Colisage :  1 colis : - 1 x 1 x 1 m, 1 kg.";"3700746487765";"https://i.habitatetjardin.com/files/produits/641/bache_hiver_max.jpg";"";"";"";"couleurrootbleu";"";"491";"MCM-05000|The 'media' attribute is required."
"couverturepiscine";"106733";"Bâche hiver pour piscine Tobago - 280 gr/m² - Bleu";"marquehabitatetjardin";"Descriptif :  Bâche hiver pour piscine Tobago octogonale allongée - illet tous les mètres - Bleue dessus - Livrée avec crochets plastiques hors sol - Protection de votre bassin contre salissures et feuilles - très résistante - légère et facile à mettre en place.Matière :  Polyéthylène tissé 280 gr/m².Dimensions de la bâche :  6.40 x 3.20 m.Dimensions de la piscine :  6.20 x 3.00 m.Colisage :  1 colis : - 1 x 1 x 1 m, 7 kg.";"3700746487932";"https://i.habitatetjardin.com/files/produits/641/bache_hiver_max.jpg";"";"";"";"couleurrootbleu";"";"492";"MCM-05000|The 'media' attribute is required."
"couverturepiscine";"117531";"Bâche à bulles pour Panama - 180 µ - Bleu";"marquehabitatetjardin";"Descriptif :  Bâche à bulles bleu pour Panama octogonale - Préserve la propreté de votre bassin - Absorbe l'énergie solaire - Rétention de la chaleur accumulée - Élimine l'évaporation d'eau - Évite la photosynthèse - Réduit l'utilisation des produits chimiques - Maintient la température la nuit.Matière :  Polyéthylène 180 µ.Dimensions de la bâche :  5.67 x 3.57 m.Colisage :  1 colis : - 1 x 1 x 1 m, 5 kg.";"3700746488038";"https://i.habitatetjardin.com/files/produits/641/bache_ete_max.jpg";"";"";"";"couleurrootbleu";"";"494";"MCM-05000|The 'media' attribute is required."
"couverturepiscine";"117532";"Bâche à bulles pour Panama - 400 µ - Bordée 1 coté - Bleu";"marquehabitatetjardin";"Descriptif :  Bâche à bulles bleu pour Panama octogonale - Préserve la propreté de votre bassin - Absorbe l'énergie solaire - Rétention de la chaleur accumulée - Élimine l'évaporation d'eau - Évite la photosynthèse - Réduit l'utilisation des produits chimiques - Maintient la température la nuit.Matière :  Polyéthylène 400 µ.Dimensions de la bâche :  5.67 x 3.57 m.Colisage :  1 colis : - 1 x 1 x 1 m, 8 kg.";"3700746488045";"https://i.habitatetjardin.com/files/produits/641/bache_ete_max.jpg";"";"";"";"couleurrootbleu";"";"495";"MCM-05000|The 'media' attribute is required."
"couverturepiscine";"117540";"Bâche à bulles pour aruba - 400 µ - Bordée 1 coté - Bleu";"marquehabitatetjardin";"Descriptif :  Bâche à bulles bleu pour Aruba octogonale - Préserve la propreté de votre bassin - Absorbe l'énergie solaire - Rétention de la chaleur accumulée - Élimine l'évaporation d'eau - Évite la photosynthèse - Réduit l'utilisation des produits chimiques - Maintient la température la nuit.Matière :  Polyéthylène 400 µ.Dimensions de la bâche :  4.47 x 2.47 m.Colisage :  1 colis : - 1 x 1 x 1 m, 6 kg.";"3700746487895";"https://i.habitatetjardin.com/files/produits/641/bache_ete_max.jpg";"";"";"";"couleurrootbleu";"";"498";"MCM-05000|The 'media' attribute is required."
"couverturepiscine";"117541";"Bâche à bulles pour Aruba - 180 µ - Bleu";"marquehabitatetjardin";"Descriptif :  Bâche à bulles bleu pour Aruba octogonale - Préserve la propreté de votre bassin - Absorbe l'énergie solaire - Rétention de la chaleur accumulée - Élimine l'évaporation d'eau - Évite la photosynthèse - Réduit l'utilisation des produits chimiques - Maintient la température la nuit.Matière :  Polyéthylène 180 µ.Dimensions de la bâche :  4.47 x 2.47 m.Colisage :  1 colis : - 1 x 1 x 1 m, 5 kg.";"3700746487901";"https://i.habitatetjardin.com/files/produits/641/bache_ete_max.jpg";"";"";"";"couleurrootbleu";"";"499";"MCM-05000|The 'media' attribute is required."
