shop_sku;title;description;brand;ean;category;error
100373;Bâche hiver pour piscine lima - 580 gr/m² - bleu;<strong>Descriptif : </strong> Bâche hiver pour piscine Lima octogonale allongée - ?illet tous les mètres - Bleue dessus - Livrée avec crochets plastiques hors sol - Protection de votre bassin contre salissures et feuilles - très résistante - légère et facile à mettre en place.<br><strong>Matière : </strong> Polyéthylène tissé 280 gr/m².<br><strong>Dimensions de la bâche : </strong> 10.50 x 3.17 m.<br><strong>Colisage : </strong> 1 colis : - 1 x 1 x 1 m, 1 kg.<br>;4452;3700746471115;;Media invalide | Les dimensions de l''image "1593190057_bache_hiver_max.jpg" ne sont pas supportées (Min={Width=537, Height=410}, Max={Width=2500, Height=2500})
103988;Tondeuse à batterie poussée yard force- largeur de coupe 40cm - lm g40a - 40 v - 500 m²;Cette tondeuse YardForce à batterie poussée légère et agile, vous permet de tondre une surperficie allant jusqu'à 500 m² . <br /> Vous apprécierez sa largeur de coupe de 40 cm et sa hauteur de coupe allant jusqu'à 7,5cm.<br style=color: rgb(85, 85, 85); font-family: Arial, Helvetica, sans-serif; text-align: justify; /> <br style=color: rgb(85, 85, 85); font-family: Arial, Helvetica, sans-serif; text-align: justify; /> Son bac de ramassage semi rigide bi-matières en toile et plastique de 45 litres, vous offre une capacité de stockage suffisante pour les petits jardins et vous garantie une vidage simplifiée.<strong><br /> </strong><br /> <br /> <strong>Spécifications techniques :<br /> <br /> </strong>Caractéristiques techniques:<br /> <br /> - Réglage de hauteur de coupe centralisé - Dimensions des roues : 165 mm (avant) / 250 mm (arrière) - Poignée ergonomique<br /> - Largeur de coupe: 400 mm<br /> - Hauteur de coupe : de 250 mm à 750 mm<br /> - Moteur sans balai - Poids 16 kg Autonomie d'utilisation :<br /> <br /> - Voltage : DC 40V 4.0 Ah <br /> - Temps de charge: 80 minutes<br /> - Chargeur 3A Garantie 2 ans <br /> <strong>Niveau SAV</strong> : hotline, e-mail, remplacement des pièces et retour atelier<br /> <br /> Livrée avec Kit Mulching<br /> <br /> <strong>Descriptif : </strong> Tondeuse à batterie poussée Yard Force - LM G40A - 40 V - 500 m².<br><strong>Hauteur de la coupe : </strong> 25-75 mm Largeur de coupe : 40 cm / 16.<br><strong>Vitesse : </strong> Vitesse à vide : 3 200 min-1.<br><strong>Capacité bac : </strong> 45 L.<br><strong>Type de batterie : </strong> Lithium-ion - Voltage : 40 V Puissance de la batterie : 4.0 Ah.<br><strong>Temps de charge de la batterie : </strong> 120 minutes - Chargeur : 3 A.<br><strong>Autonomie de la batterie : </strong> 40 minutes.<br><strong>Matière de carter : </strong> ABS.<br><strong>Nombre de positions de la hauteur de coupe : </strong> 7 positions.<br><strong>Réglage de la hauteur de coupe : </strong> Centralisé.<br><strong>Mulching : </strong> Livré avec kit Mulching.<br><strong>Type de moteur : </strong> Sans balai.<br><strong>Garantie : </strong> 2 ans (hors pièces d'usure) - 6 mois batterie et chargeur.<br><strong>Colisage : </strong> 1 colis : - 0,83 x 0,5 x 0,425 m, 18 kg.<br>;4452;6939500728067;;ECOLABEL est obligatoire pour la catégorie 1399_tondeuseEl
106122;Bâche à bulles  pour piscine venecia - 180 µ - bleu;<strong>Descriptif : </strong> Forme octogonale - 180 microns.<br><strong>Dimensions de la bâche : </strong> 4.84 x 4.84 m.<br><strong>Colisage : </strong> 1 colis : - 11 x 1 x 1 m, 1 kg.<br>;4452;3700746485969;;Media invalide | Les dimensions de l''image "1593190881_1206_61834_vue0.jpg" ne sont pas supportées (Min={Width=537, Height=410}, Max={Width=2500, Height=2500})
106694;Pack tondeuse lm g32 40v + coupe bordure lt g30 40v;<strong>Cette tondeuse YardForc</strong>e électrique Légère et agile, cette tondeuse est idéale pour un usage quotidien. Vous apprécierez sa largeur de coupe de 32 cm et sa hauteur de coupe allant jusqu'à 60mm.<br /> Idéale pour des surfaces de jardin inférieur à 200 m2<br /> <br /> Son bac de ramassage semi rigide bi-matières en toile et plastique de 30 litres, vous offre une capacité de stockage suffisante pour les petits jardins et une vidange simplifié.<br /> <br /> <br /> <strong>Le coupe bordure</strong> YardForce sur batterie est quant à lui idéal pour couper les mauvaises herbes et parfaire les contours de votre jardin, même dans les endroits les plus difficiles d'accès.<br /> <br /> Avec une largeur de coupe de 30 cm, ce coupe bordure sans fil léger et maniable s'adapte à vos besoins pour vous offrir tout le confort nécessaire pour vos travaux de jardinage.<br /> <br /> Le guidon réglable rend l'outil facile à manipuler.<br /> <br /> Colori Orange / noir<br /> <br type=_moz /> <strong>Spécifications techniques :<br /> </strong><br /> <br /> Caractéristiques techniques de la tondeuse: <br /> <br /> - Lame double face - Capacité du sac : 30 Litres <br /> - Largeur de la coupe: 320 mm - Poids 8,7 kg<br /> <br /> Caractéristiques techniques du coupe bordure sans fil : <br /> <br /> - Lame double face<br /> - Diamètre de coupe: 1,2 mm<br /> - Largeur de la coupe : 300 mm<br /> - Poids : 1,75 kg Autonomie d'utilisation de la tondeuse : <br /> <br /> - Voltage : DC 40V <br /> - Durée de la charge : 75 min<br /> <br /> Autonomie d'utilisation du coupe bordure san fil : <br /> <br /> - Voltage : DC 40V 2.5 Ah <br /> - Durée de la charge : 75 min Garantie 2 ans <br /> <strong>Niveau SAV </strong>: e-mail et remplacement des pièces<strong>Colisage : </strong> 1 colis : - 0,722 x 0,404 x 0,37 m, 12,25 kg.<br>;4452;6939500729859;;ECOLABEL est obligatoire pour la catégorie 1399_tondeuseEl
106697;Batterie yardforce 40 v 2.5 ah;Cette batterie Lithium-ion Samsung 25R est compatible avec la gamme de produit Yardforce<br /> <br /> - Tension 40V<br /> - Capacité : 2.5 Ah <br /> - Poids: 2 kg<br /> - Garantie 2 ans <strong>Colisage : </strong> 1 colis : - 0,13 x 0,135 x 0,105 m, 2,2 kg.<br>;4452;6939500728340;;Media invalide | Les dimensions de l''image "1593191000_divers-103994_vue1_Taille_2.jpg" ne sont pas supportées (Min={Width=537, Height=410}, Max={Width=2500, Height=2500})
106732;Bâche hiver pour piscine caimans - 280 gr/m² - bleu;<strong>Descriptif : </strong> Bâche hiver pour piscine Caimans octogonale allongée - ?illet tous les mètres - Bleue dessus - Livrée avec crochets plastiques hors sol - Protection de votre bassin contre salissures et feuilles - très résistante - légère et facile à mettre en place.<br><strong>Matière : </strong> Polyéthylène tissé 280 gr/m².<br><strong>Dimensions de la bâche : </strong> 4.30 X 3.20 m.<br><strong>Dimensions de la piscine : </strong> 4.10 X 3.00 m.<br><strong>Colisage : </strong> 1 colis : - 1 x 1 x 1 m, 1 kg.<br>;4452;3700746487765;;Media invalide | Les dimensions de l''image "1593191003_bache_hiver_max.jpg" ne sont pas supportées (Min={Width=537, Height=410}, Max={Width=2500, Height=2500})
106733;Bâche hiver pour piscine tobago - 280 gr/m² - bleu;<strong>Descriptif : </strong> Bâche hiver pour piscine Tobago octogonale allongée - ?illet tous les mètres - Bleue dessus - Livrée avec crochets plastiques hors sol - Protection de votre bassin contre salissures et feuilles - très résistante - légère et facile à mettre en place.<br><strong>Matière : </strong> Polyéthylène tissé 280 gr/m².<br><strong>Dimensions de la bâche : </strong> 6.40 x 3.20 m.<br><strong>Dimensions de la piscine : </strong> 6.20 x 3.00 m.<br><strong>Colisage : </strong> 1 colis : - 1 x 1 x 1 m, 7 kg.<br>;4452;3700746487932;;Media invalide | Les dimensions de l''image "1593191004_bache_hiver_max.jpg" ne sont pas supportées (Min={Width=537, Height=410}, Max={Width=2500, Height=2500})
117531;Bâche à bulles pour panama - 180 µ - bleu;<br /><strong>Descriptif : </strong> Bâche à bulles bleu pour Panama octogonale - Préserve la propreté de votre bassin - Absorbe l'énergie solaire - Rétention de la chaleur accumulée - Élimine l'évaporation d'eau - Évite la photosynthèse - Réduit l'utilisation des produits chimiques - Maintient la température la nuit.<br><strong>Matière : </strong> Polyéthylène 180 µ.<br><strong>Dimensions de la bâche : </strong> 5.67 x 3.57 m.<br><strong>Colisage : </strong> 1 colis : - 1 x 1 x 1 m, 5 kg.<br>;4452;3700746488038;;Media invalide | Les dimensions de l''image "1593191007_bache_ete_max.jpg" ne sont pas supportées (Min={Width=537, Height=410}, Max={Width=2500, Height=2500})
117532;Bâche à bulles pour panama - 400 µ - bordée 1 coté - bleu;<br /><strong>Descriptif : </strong> Bâche à bulles bleu pour Panama octogonale - Préserve la propreté de votre bassin - Absorbe l'énergie solaire - Rétention de la chaleur accumulée - Élimine l'évaporation d'eau - Évite la photosynthèse - Réduit l'utilisation des produits chimiques - Maintient la température la nuit.<br><strong>Matière : </strong> Polyéthylène 400 µ.<br><strong>Dimensions de la bâche : </strong> 5.67 x 3.57 m.<br><strong>Colisage : </strong> 1 colis : - 1 x 1 x 1 m, 8 kg.<br>;4452;3700746488045;;Media invalide | Les dimensions de l''image "1593191008_bache_ete_max.jpg" ne sont pas supportées (Min={Width=537, Height=410}, Max={Width=2500, Height=2500})
117540;Bâche à bulles pour aruba - 400 µ - bordée 1 coté - bleu;<br /><strong>Descriptif : </strong> Bâche à bulles bleu pour Aruba octogonale - Préserve la propreté de votre bassin - Absorbe l'énergie solaire - Rétention de la chaleur accumulée - Élimine l'évaporation d'eau - Évite la photosynthèse - Réduit l'utilisation des produits chimiques - Maintient la température la nuit.<br><strong>Matière : </strong> Polyéthylène 400 µ.<br><strong>Dimensions de la bâche : </strong> 4.47 x 2.47 m.<br><strong>Colisage : </strong> 1 colis : - 1 x 1 x 1 m, 6 kg.<br>;4452;3700746487895;;Media invalide | Les dimensions de l''image "1593191013_bache_ete_max.jpg" ne sont pas supportées (Min={Width=537, Height=410}, Max={Width=2500, Height=2500})
